,companyshortname,epsactual,epsestimate,epssurprisepct,gmtOffsetMilliSeconds,quoteType,startdatetime,startdatetimetype,ticker
17653,Progressive Corp,1.27,1.37,-7.3,0,EQUITY,2019-04-16T16:30:00.000Z,BMO,PGR
17654,Fulton Financial Corp,0.33,0.32,3.13,0,EQUITY,2019-04-16T20:30:00.000Z,TAS,FULT
17655,Hancock Whitney Corp,0.91,0.96,-5.21,0,EQUITY,2019-04-16T21:00:51.000Z,TAS,HWC
17656,CLS Holdings USA Inc,,,,0,EQUITY,2019-04-16T14:59:00.000Z,TNS,CLSH
17657,Canbiola Inc,,,,0,EQUITY,2019-04-17T00:00:00.000Z,AMC,CANB
17658,Professional Diversity Network Inc,,,,0,EQUITY,2019-04-17T00:00:00.000Z,AMC,IPDN
17659,Grom Social Enterprises Inc,,,,0,EQUITY,2019-04-16T14:59:00.000Z,TNS,GRMM
17660,First Foods Group Inc,,,,0,EQUITY,2019-04-16T14:59:00.000Z,TNS,FIFG
17661,John Hancock Financial Opportunities Fund,0.04,0.03,33.33,0,EQUITY,2019-04-16T14:59:00.000Z,TNS,BTO
17662,Sports Field Holdings Inc,,,,0,EQUITY,2019-04-16T14:59:00.000Z,TNS,SFHI
17663,Innovative Food Holdings Inc,,,,0,EQUITY,2019-04-16T20:53:00.000Z,TAS,IVFH
17664,Omnicom Group Inc,1.17,1.09,7.34,0,EQUITY,2019-04-16T10:45:03.000Z,TAS,OMC
17665,Meritage Hospitality Group Inc,,,,0,EQUITY,2019-04-16T14:59:00.000Z,TNS,MHGU
17666,UnitedHealth Group Inc,3.73,3.6,3.61,0,EQUITY,2019-04-16T09:55:00.000Z,TAS,UNH
17667,Kona Grill Inc,,,,0,EQUITY,2019-04-17T00:00:00.000Z,AMC,KONAQ
17668,Greenbox Pos,,,,0,EQUITY,2019-04-16T14:59:00.000Z,TNS,GRBX
17669,Limbach Holdings Inc,0.28,-0.08,450.0,0,EQUITY,2019-04-16T13:00:00.000Z,TAS,LMB
17670,Perma-Pipe International Holdings Inc,,,,0,EQUITY,2019-04-16T13:00:01.000Z,TAS,PPIH
17671,Innerscope Hearing Technologies Inc,,,,0,EQUITY,2019-04-16T14:59:00.000Z,TNS,INND
17672,Lakeland Industries Inc,-0.24,0.13,-284.62,0,EQUITY,2019-04-16T20:30:00.000Z,TAS,LAKE
17673,WesBanco Inc,0.78,0.8,-2.5,0,EQUITY,2019-04-16T20:15:05.000Z,TAS,WSBC
17674,Nuo Therapeutics Inc,,,,0,EQUITY,2019-04-17T00:00:00.000Z,AMC,AURX
17675,Netflix Inc,0.76,0.57,33.33,0,EQUITY,2019-04-16T20:00:00.000Z,TAS,NFLX
17676,Youngevity International Inc,-0.45,-0.01,-4400.0,0,EQUITY,2019-04-16T16:30:00.000Z,BMO,YGYI
17677,Prologis Inc,0.53,0.33,60.61,0,EQUITY,2019-04-16T12:00:11.000Z,TAS,PLD
17678,Precipio Inc,-0.48,-0.48,0.0,0,EQUITY,2019-04-16T14:59:00.000Z,TNS,PRPO
17679,Respirerx Pharmaceuticals Inc,,,,0,EQUITY,2019-04-16T16:30:00.000Z,BMO,RSPI
17680,Johnson & Johnson,2.1,2.03,3.45,0,EQUITY,2019-04-16T10:40:05.000Z,TAS,JNJ
17681,Mellanox Technologies Ltd,1.59,1.45,9.66,0,EQUITY,2019-04-16T17:00:00.000Z,AMC,MLNX
17682,Marten Transport Ltd,0.25,0.24,4.17,0,EQUITY,2019-04-17T00:00:00.000Z,AMC,MRTN
17683,Plastec Technologies Ltd,,,,0,EQUITY,2019-04-17T00:00:00.000Z,AMC,PLTYF
17684,Pier 1 Imports Inc,-12.4,-4.4,-181.82,0,EQUITY,2019-04-17T20:15:01.000Z,TAS,PIR
17685,Alcoa Corp,-0.23,-0.13,-76.92,0,EQUITY,2019-04-17T20:10:00.000Z,TAS,AA
17686,Atlassian Corporation PLC,0.21,0.18,16.67,0,EQUITY,2019-04-17T20:03:00.000Z,TAS,TEAM
17687,Abbott Laboratories,0.63,0.61,3.28,0,EQUITY,2019-04-17T11:45:04.000Z,TAS,ABT
17688,ADTRAN Inc,0.1,-0.06,266.67,0,EQUITY,2019-04-18T00:05:00.000Z,TAS,ADTN
17689,Banco Latinoamericano de Comercio Exterior SA,0.54,0.51,5.88,0,EQUITY,2019-04-17T11:00:06.000Z,TAS,BLX
17690,Badger Meter Inc,0.37,0.37,0.0,0,EQUITY,2019-04-17T12:30:00.000Z,TAS,BMI
17691,Triumph Bancorp Inc,0.55,0.52,5.77,0,EQUITY,2019-04-17T20:07:15.000Z,TAS,TBK
17692,Cathay General Bancorp,0.83,0.8,3.75,0,EQUITY,2019-04-17T20:30:05.000Z,TAS,CATY
17693,Bank Ozk,0.86,0.84,2.38,0,EQUITY,2019-04-17T20:01:18.000Z,TAS,OZK
17694,Eagle Bancorp Inc,0.98,1.12,-12.5,0,EQUITY,2019-04-17T20:15:38.000Z,TAS,EGBN
17695,Northwest Bancshares Inc,0.24,0.24,0.0,0,EQUITY,2019-04-17T16:30:00.000Z,BMO,NWBI
17696,Cambridge Bancorp,,,,0,EQUITY,2019-04-17T16:30:00.000Z,BMO,CATC
17697,Bank First Corp,1.0,0.92,8.7,0,EQUITY,2019-04-17T14:59:00.000Z,TNS,BFC
