,companyshortname,epsactual,epsestimate,epssurprisepct,gmtOffsetMilliSeconds,quoteType,startdatetime,startdatetimetype,ticker
0,Nutriband Inc,,,,0,EQUITY,2018-01-06T02:00:00.000Z,AMC,NTRB
1,Hingham Institution For Savings,,,,0,EQUITY,2018-01-18T15:59:00.000Z,TNS,HIFS
2,General American Investors Co Inc,,,,0,EQUITY,2018-01-25T02:00:00.000Z,AMC,GAM
3,Greene County Bancorp Inc,,,,0,EQUITY,2018-01-24T15:59:00.000Z,TNS,GCBC
4,Riverview Bancorp Inc,,,,0,EQUITY,2018-01-25T21:00:00.000Z,TAS,RVSB
5,Investar Holding Corp,,,,0,EQUITY,2018-01-25T15:59:00.000Z,TNS,ISTR
6,Seneca Foods Corp,,,,0,EQUITY,2018-01-25T15:59:00.000Z,TNS,SENEA
7,Republic Bancorp Inc,,,,0,EQUITY,2018-01-26T18:30:00.000Z,BMO,RBCAA
8,Kayne Anderson MLP/Midstream Investment Co,,,,0,EQUITY,2018-01-29T15:59:00.000Z,TNS,KYN
9,Coffee Holding Co Inc,,,,0,EQUITY,2018-01-29T18:30:00.000Z,BMO,JVA
10,Sogou Inc,,,,0,EQUITY,2018-01-29T15:59:00.000Z,TNS,SOGO
11,TGI Solar Power Group Inc,,,,0,EQUITY,2018-01-31T15:59:00.000Z,TNS,TSPG
12,Peoples Financial Services Corp,,,,0,EQUITY,2018-02-03T02:00:00.000Z,AMC,PFIS
13,CTS Corp,,,,0,EQUITY,2018-02-06T16:00:00.000Z,TAS,CTS
14,TGI Solar Power Group Inc,,,,0,EQUITY,2018-02-07T15:59:00.000Z,TNS,TSPG
15,Consolidated-Tomoka Land Co,,,,0,EQUITY,2018-02-08T14:00:00.000Z,TAS,CTO
16,S&W Seed Co,,,,0,EQUITY,2018-02-08T21:30:00.000Z,TAS,SANW
17,Learning Tree International Inc,,,,0,EQUITY,2018-02-08T21:30:00.000Z,TAS,LTRE
18,Chegg Inc,,,,0,EQUITY,2018-02-12T21:30:00.000Z,TAS,CHGG
19,CX Network Group Inc,,,,0,EQUITY,2018-02-12T15:59:00.000Z,TNS,CXKJ
20,Giga-tronics Inc,,,,0,EQUITY,2018-02-12T21:30:00.000Z,TAS,GIGA
21,AeroGrow International Inc,,,,0,EQUITY,2018-02-13T15:59:00.000Z,TNS,AERO
22,Bank of San Francisco,,,,0,EQUITY,2018-02-13T05:00:00.000Z,AMC,BSFO
23,Bluerock Residential Growth REIT Inc,,,,0,EQUITY,2018-02-14T16:00:00.000Z,TAS,BRG
24,InVitro International,,,,0,EQUITY,2018-02-14T15:59:00.000Z,TNS,IVRO
25,Macatawa Bank Corp,,,,0,EQUITY,2018-02-15T15:59:00.000Z,TNS,MCBC
26,Diana Containerships Inc,,,,0,EQUITY,2018-02-20T18:30:00.000Z,BMO,DCIX
27,Hackett Group Inc,,,,0,EQUITY,2018-02-20T22:00:00.000Z,TAS,HCKT
28,Spark Therapeutics Inc,,,,0,EQUITY,2018-02-20T13:30:00.000Z,TAS,ONCE
29,Eldorado Resorts Inc,,,,0,EQUITY,2018-02-22T21:30:00.000Z,TAS,ERI
30,Comfort Systems USA Inc,,,,0,EQUITY,2018-02-23T16:00:00.000Z,TAS,FIX
31,Acme United Corp,0.16,0.23,-30.43,0,EQUITY,2018-02-27T17:00:00.000Z,TAS,ACU
32,Escalade Inc,,,,0,EQUITY,2018-02-28T02:00:00.000Z,AMC,ESCA
33,Bitmis Corp,,,,0,EQUITY,2018-02-28T15:59:00.000Z,TNS,BIMT
34,Kindred Biosciences Inc,,,,0,EQUITY,2018-03-01T21:30:00.000Z,TAS,KIN
35,Jernigan Capital Inc,0.19,0.15,26.67,0,EQUITY,2018-03-01T16:00:00.000Z,TAS,JCAP
36,PIMCO Dynamic Income Fund,,,,0,EQUITY,2018-03-01T15:59:00.000Z,TNS,PDI
37,UFP Technologies Inc,,,,0,EQUITY,2018-03-01T18:30:00.000Z,BMO,UFPT
38,Liberty All-Star Equity Fund,-0.03,-0.08,62.5,0,EQUITY,2018-03-05T15:59:00.000Z,TNS,USA
39,Tarena International Inc,,,,0,EQUITY,2018-03-06T01:00:00.000Z,TAS,TEDU
40,Ooma Inc,-0.03,-0.04,25.0,0,EQUITY,2018-03-06T22:00:00.000Z,TAS,OOMA
41,Okta Inc,-0.1,-0.14,28.57,0,EQUITY,2018-03-07T22:00:00.000Z,TAS,OKTA
42,Joint Corp,-0.02,-0.03,33.33,0,EQUITY,2018-03-09T02:00:00.000Z,AMC,JYNT
43,UTStarcom Holdings Corp,-0.09,0.08,-212.5,0,EQUITY,2018-03-09T13:00:00.000Z,TAS,UTSI
44,Wireless Telecom Group Inc,,,,0,EQUITY,2018-03-12T21:00:00.000Z,TAS,WTT
45,Quanterix Corp,,,,0,EQUITY,2018-03-14T20:30:00.000Z,TAS,QTRX
46,Smith Micro Software Inc,-0.15,-0.11,-36.36,0,EQUITY,2018-03-14T20:30:00.000Z,TAS,SMSI
47,Parke Bancorp Inc,,,,0,EQUITY,2018-03-15T14:59:00.000Z,TNS,PKBK
48,Golden Entertainment Inc,-0.47,0.01,-4800.0,0,EQUITY,2018-03-15T21:00:00.000Z,TAS,GDEN
49,XBiotech Inc,-0.32,-0.47,31.91,0,EQUITY,2018-03-16T16:30:00.000Z,BMO,XBIT
50,XT Energy Group Inc,,,,0,EQUITY,2018-03-19T14:59:00.000Z,TNS,XTEG
51,FalconStor Software Inc,,,,0,EQUITY,2018-03-22T20:30:00.000Z,TAS,FALC
52,Aradigm Corp,-0.28,-0.36,22.22,0,EQUITY,2018-03-23T16:30:00.000Z,BMO,ARDMQ
53,Cypress Energy Partners LP,0.25,0.12,108.33,0,EQUITY,2018-03-23T14:00:00.000Z,TAS,CELP
54,Lululemon Athletica Inc,1.33,1.27,4.72,0,EQUITY,2018-03-28T00:00:00.000Z,AMC,LULU
55,BioAmber Inc,,,,0,EQUITY,2018-03-28T00:00:00.000Z,AMC,BIOA
56,McCormick & Company Inc,1.0,0.91,9.89,0,EQUITY,2018-03-27T16:30:00.000Z,BMO,MKC
57,Where Food Comes From Inc,,,,0,EQUITY,2018-03-27T16:30:00.000Z,BMO,WFCF
58,Celsion Corp,-0.31,-0.31,0.0,0,EQUITY,2018-03-27T14:59:00.000Z,TNS,CLSN
59,Francesca's Holdings Corp,2.4,0.19,1163.16,0,EQUITY,2018-03-27T16:30:00.000Z,BMO,FRAN
60,Shoe Carnival Inc,0.11,0.09,22.22,0,EQUITY,2018-03-28T00:00:00.000Z,AMC,SCVL
61,Sonic Corp,0.17,0.16,6.25,0,EQUITY,2018-03-28T00:00:00.000Z,AMC,SONC
62,Leatt Corp,,,,0,EQUITY,2018-03-27T16:30:00.000Z,BMO,LEAT
63,Dyadic International Inc,,,,0,EQUITY,2018-03-28T00:00:00.000Z,AMC,DYAI
64,Edap Tms SA,0.0,0.02,-100.0,0,EQUITY,2018-03-28T00:00:00.000Z,AMC,EDAP
65,FactSet Research Systems Inc,2.12,2.06,2.91,0,EQUITY,2018-03-27T16:30:00.000Z,BMO,FDS
66,Renmin Tianli Group Inc,,,,0,EQUITY,2018-03-28T00:00:00.000Z,AMC,ABAC
67,MYOS RENS Technology Inc,,,,0,EQUITY,2018-03-28T00:00:00.000Z,AMC,MYOS
68,IHS Markit Ltd,0.53,0.5,6.0,0,EQUITY,2018-03-27T16:30:00.000Z,BMO,INFO
69,RH,1.69,1.55,9.03,0,EQUITY,2018-03-28T00:00:00.000Z,AMC,RH
70,Walgreens Boots Alliance Inc,1.73,1.55,11.61,0,EQUITY,2018-03-28T11:00:00.000Z,TAS,WBA
71,Ascendis Pharma A/S,0.0,0.01,-100.0,0,EQUITY,2018-03-28T20:30:00.000Z,TAS,ASND
72,Americold Realty Trust,,,,0,EQUITY,2018-03-29T00:00:00.000Z,AMC,COLD
73,A Schulman Inc,0.3,0.35,-14.29,0,EQUITY,2018-03-29T00:00:00.000Z,AMC,SHLM
74,iClick Interactive Asia Group Ltd,-0.24,-0.03,-700.0,0,EQUITY,2018-03-28T16:30:00.000Z,BMO,ICLK
75,Dare Bioscience Inc,-2.7,-3.1,12.9,0,EQUITY,2018-03-29T00:00:00.000Z,AMC,DARE
76,Biocept Inc,-5.4,-4.95,-9.09,0,EQUITY,2018-03-29T00:00:00.000Z,AMC,BIOC
77,Cumulus Media Inc,,,,0,EQUITY,2018-03-28T14:59:00.000Z,TNS,CMIA
78,Red Lion Hotels Corp,-0.18,-0.17,-5.88,0,EQUITY,2018-03-29T00:00:00.000Z,AMC,RLH
79,GameStop Corp,2.02,1.97,2.54,0,EQUITY,2018-03-29T00:00:00.000Z,AMC,GME
80,Cyclacel Pharmaceuticals Inc,-0.69,-0.73,5.48,0,EQUITY,2018-03-28T20:30:00.000Z,TAS,CYCC
81,UniFirst Corp,2.85,1.14,150.0,0,EQUITY,2018-03-28T16:30:00.000Z,BMO,UNF
82,eMagin Corp,-0.04,-0.04,0.0,0,EQUITY,2018-03-28T13:00:00.000Z,TAS,EMAN
83,Capstone Companies Inc,,,,0,EQUITY,2018-03-29T00:00:00.000Z,AMC,CAPC
84,PVH Corp,1.58,1.47,7.48,0,EQUITY,2018-03-29T00:00:00.000Z,AMC,PVH
85,HB Fuller Co,0.35,0.34,2.94,0,EQUITY,2018-03-29T00:00:00.000Z,AMC,FUL
86,MusclePharm Corp,-0.23,-0.08,-187.5,0,EQUITY,2018-03-28T20:30:00.000Z,TAS,MSLP
87,Secureworks Corp,-0.12,-0.08,-50.0,0,EQUITY,2018-03-28T16:30:00.000Z,BMO,SCWX
88,Deep Down Inc,0.01,-0.04,125.0,0,EQUITY,2018-03-29T00:00:00.000Z,AMC,DPDW
89,P&F Industries Inc,,,,0,EQUITY,2018-03-28T15:00:00.000Z,TAS,PFIN
90,One Group Hospitality Inc,0.05,0.06,-16.67,0,EQUITY,2018-03-28T21:00:00.000Z,TAS,STKS
91,Gevo Inc,-4.0,-5.2,23.08,0,EQUITY,2018-03-29T00:00:00.000Z,AMC,GEVO
92,Sportsmans Warehouse Holdings Inc,0.2,0.27,-25.93,0,EQUITY,2018-03-28T20:30:00.000Z,TAS,SPWH
93,Syncora Holdings Ltd,,,,0,EQUITY,2018-03-28T12:30:00.000Z,TAS,SYCRF
94,Reed's Inc,-0.47,-0.12,-291.67,0,EQUITY,2018-03-28T20:30:00.000Z,TAS,REED
95,Innovative Industrial Properties Inc,0.07,0.03,133.33,0,EQUITY,2018-03-29T00:00:00.000Z,AMC,IIPR
96,Manitex International Inc,0.05,0.08,-37.5,0,EQUITY,2018-03-28T20:30:00.000Z,TAS,MNTX
97,OMNOVA Solutions Inc,0.09,0.06,50.0,0,EQUITY,2018-03-28T16:30:00.000Z,BMO,OMN
98,Sunworks Inc,-0.15,-0.03,-400.0,0,EQUITY,2018-03-29T00:00:00.000Z,AMC,SUNW
99,Molecular Templates Inc,-0.26,-0.2,-30.0,0,EQUITY,2018-03-29T00:00:00.000Z,AMC,MTEM
100,Nortech Systems Inc,,,,0,EQUITY,2018-03-28T15:00:00.000Z,TAS,NSYS
101,MICT Inc,,,,0,EQUITY,2018-03-28T16:30:00.000Z,BMO,MICT
102,Oxford Industries Inc,0.93,0.92,1.09,0,EQUITY,2018-03-29T00:00:00.000Z,AMC,OXM
103,Verint Systems Inc,1.05,1.0,5.0,0,EQUITY,2018-03-29T00:00:00.000Z,AMC,VRNT
104,Pioneer Power Solutions Inc,0.05,0.21,-76.19,0,EQUITY,2018-03-28T20:30:00.000Z,TAS,PPSI
105,Magal Security Systems Ltd,,,,0,EQUITY,2018-03-28T14:59:00.000Z,TNS,MAGS
106,Qiwi PLC,0.16,0.07,128.57,0,EQUITY,2018-03-28T16:30:00.000Z,BMO,QIWI
107,Astea International Inc,,,,0,EQUITY,2018-03-29T20:30:00.000Z,TAS,ATEA
108,AmBase Corp,,,,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,ABCP
109,AllianceBernstein National Municipal Income Fund Inc,,,,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,AFB
110,Unico American Corp,,,,0,EQUITY,2018-03-30T00:00:00.000Z,AMC,UNAM
111,Legacy Education Alliance Inc,,,,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,LEAI
112,Allianzgi NFJ Dividend Interest & Premium Strategy Fund,,,,0,EQUITY,2018-03-30T00:00:00.000Z,AMC,NFJ
113,Aldeyra Therapeutics Inc,-0.36,-0.32,-12.5,0,EQUITY,2018-03-29T16:30:00.000Z,BMO,ALDX
114,Science Applications International Corp,1.16,0.77,50.65,0,EQUITY,2018-03-29T16:30:00.000Z,BMO,SAIC
115,AEHR Test Systems,0.02,0.0,,0,EQUITY,2018-03-30T00:00:00.000Z,AMC,AEHR
116,Voxeljet AG,-0.15,-0.08,-87.5,0,EQUITY,2018-03-30T00:00:00.000Z,AMC,VJET
117,Alliance Creative Group Inc,,,,0,EQUITY,2018-03-29T20:30:00.000Z,TAS,ACGX
118,Astro Aerospace Ltd,,,,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,ASDN
119,China Auto Logistics Inc,,,,0,EQUITY,2018-03-29T16:30:00.000Z,BMO,CALI
120,Akers Biosciences Inc,-38.4,11.52,-433.33,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,AKER
121,Altimmune Inc,-17.4,-15.0,-16.0,0,EQUITY,2018-03-29T16:30:00.000Z,BMO,ALT
122,Saker Aviation Services Inc,,,,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,SKAS
123,Takung Art Co Ltd,-0.19,-0.09,-111.11,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,TKAT
124,AngioDynamics Inc,0.25,0.19,31.58,0,EQUITY,2018-03-29T16:30:00.000Z,BMO,ANGO
125,ICTV Brands Inc,,,,0,EQUITY,2018-03-30T00:00:00.000Z,AMC,ICTV
126,Genius Brands International Inc,-0.16,0.19,-184.21,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,GNUS
127,Tofutti Brands Inc,,,,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,TOFB
128,Ocean Bio-Chem Inc,,,,0,EQUITY,2018-03-29T16:30:00.000Z,BMO,OBCI
129,BIO-Key International Inc,0.04,-0.02,300.0,0,EQUITY,2018-03-29T16:30:00.000Z,BMO,BKYI
130,Sophiris Bio Inc,-0.13,-0.11,-18.18,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,SPHS
131,Yew Bio-Pharm Group Inc,,,,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,YEWB
132,BioHiTech Global Inc,,,,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,BHTG
133,Marrone Bio Innovations Inc,-0.24,-0.26,7.69,0,EQUITY,2018-03-29T21:00:00.000Z,TAS,MBII
134,Xcel Brands Inc,,,,0,EQUITY,2018-03-29T21:30:00.000Z,TAS,XELB
135,Constellation Brands Inc,1.9,1.75,8.57,0,EQUITY,2018-03-29T16:30:00.000Z,BMO,STZ
136,Pareteum Corp,-0.31,-0.08,-287.5,0,EQUITY,2018-03-29T16:30:00.000Z,BMO,TEUM
137,CASI Pharmaceuticals Inc,-0.08,-0.02,-300.0,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,CASI
138,Conrad Industries Inc,,,,0,EQUITY,2018-03-30T00:00:00.000Z,AMC,CNRD
139,Mobivity Holdings Corp,,,,0,EQUITY,2018-03-30T00:00:00.000Z,AMC,MFON
140,Pacific Health Care Organization Inc,,,,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,PFHO
141,Omnitek Engineering Corp,,,,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,OMTK
142,Mentor Capital Inc,,,,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,MNTR
143,Creative Realities Inc,,,,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,CREX
144,CTI Industries Corp,,,,0,EQUITY,2018-03-29T14:00:00.000Z,TAS,CTIB
145,Sachem Capital Corp,,,,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,SACH
146,DGSE Companies Inc,,,,0,EQUITY,2018-03-30T00:00:00.000Z,AMC,DGSE
147,CBA Florida Inc,,,,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,CBAI
148,Citizens Inc,,,,0,EQUITY,2018-03-30T00:00:00.000Z,AMC,CIA
149,Quest Resource Holding Corp,-0.1,-0.06,-66.67,0,EQUITY,2018-03-29T16:30:00.000Z,BMO,QRHC
150,EACO Corp,,,,0,EQUITY,2018-03-30T00:00:00.000Z,AMC,EACO
151,CVD Equipment Corp,,,,0,EQUITY,2018-03-30T00:00:00.000Z,AMC,CVV
152,Lindsay Corp,0.56,0.57,-1.75,0,EQUITY,2018-03-29T16:30:00.000Z,BMO,LNN
153,InsPro Technologies Corp,,,,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,ITCC
154,International Stem Cell Corp,,,,0,EQUITY,2018-03-29T16:30:00.000Z,BMO,ISCO
155,CV Sciences Inc,,,,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,CVSI
156,Synergy CHC Corp,,,,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,SNYR
157,Chanticleer Holdings Inc,-0.58,-0.35,-65.71,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,BURG
158,Ellomay Capital Ltd,,,,0,EQUITY,2018-03-29T16:30:00.000Z,BMO,ELLO
159,Chaparral Energy Inc,-0.03,0.02,-250.0,0,EQUITY,2018-03-29T14:00:00.000Z,TAS,CHAP
160,Towerstream Corp,,,,0,EQUITY,2018-03-30T00:00:00.000Z,AMC,TWER
161,SYNNEX Corp,2.14,2.11,1.42,0,EQUITY,2018-03-30T00:00:00.000Z,AMC,SNX
162,Smith-Midland Corp,,,,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,SMID
163,PZ Wind Down Inc,,,,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,PZRXQ
164,Diffusion Pharmaceuticals Inc,-1.65,-0.6,-175.0,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,DFFN
165,TOMI Environmental Solutions Inc,,,,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,TOMZ
166,Five Point Holdings LLC,-0.08,-0.14,42.86,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,FPH
167,Fang Holdings Ltd,0.03,0.05,-40.0,0,EQUITY,2018-03-29T16:30:00.000Z,BMO,SFUN
168,GWG Holdings Inc,-2.77,-0.6,-361.67,0,EQUITY,2018-03-29T20:30:00.000Z,TAS,GWGH
169,Global Self Storage Inc,,,,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,SELF
170,Galectin Therapeutics Inc,-0.07,-0.11,36.36,0,EQUITY,2018-03-29T16:30:00.000Z,BMO,GALT
171,GulfMark Offshore Inc,,,,0,EQUITY,2018-03-29T13:00:00.000Z,TAS,GLF
172,XpresSpa Group Inc,-8.4,-2.0,-320.0,0,EQUITY,2018-03-29T14:00:00.000Z,TAS,XSPA
173,Movado Group Inc,0.52,0.26,100.0,0,EQUITY,2018-03-29T16:30:00.000Z,BMO,MOV
174,Jerrick Media Holdings Inc,,,,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,JMDA
175,Remark Holdings Inc,-0.31,-0.25,-24.0,0,EQUITY,2018-03-29T12:30:00.000Z,TAS,MARK
176,Kenon Holdings Ltd,,,,0,EQUITY,2018-03-29T16:30:00.000Z,BMO,KEN
177,QC Holdings Inc,,,,0,EQUITY,2018-03-29T16:30:00.000Z,BMO,QCCO
178,Titan Machinery Inc,-0.1,-0.14,28.57,0,EQUITY,2018-03-29T16:30:00.000Z,BMO,TITN
179,Ovid Therapeutics Inc,-0.45,-0.41,-9.76,0,EQUITY,2018-03-30T00:00:00.000Z,AMC,OVID
180,Tengasco Inc,,,,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,TGC
181,Reliv International Inc,,,,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,RELV
182,Itronics Inc,,,,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,ITRO
183,ParkerVision Inc,-0.32,-0.23,-39.13,0,EQUITY,2018-03-29T20:30:00.000Z,TAS,PRKR
184,Vycor Medical Inc,,,,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,VYCO
185,Surna Inc,,,,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,SRNA
186,VirTra Inc,,,,0,EQUITY,2018-03-30T00:00:00.000Z,AMC,VTSI
187,International Isotopes Inc,,,,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,INIS
188,Social Reality Inc,-0.5,0.03,-1766.67,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,SRAX
189,Table Trac Inc,,,,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,TBTC
190,Propel Media Inc,,,,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,PROM
191,Intellinetics Inc,-0.02,-0.02,0.0,0,EQUITY,2018-03-30T00:00:00.000Z,AMC,INLX
192,SenesTech Inc,-0.15,-0.2,25.0,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,SNES
193,Youngevity International Inc,,,,0,EQUITY,2018-03-29T16:30:00.000Z,BMO,YGYI
194,Spine Injury Solutions Inc,,,,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,SPIN
195,Solis Tek Inc,,,,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,SLTK
196,Switch Inc,0.14,-0.21,166.67,0,EQUITY,2018-03-30T00:00:00.000Z,AMC,SWCH
197,Medley Management Inc,0.05,0.1,-50.0,0,EQUITY,2018-03-29T16:30:00.000Z,BMO,MDLY
198,Victory Oilfield Tech Inc,,,,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,VYEY
199,Talon International Inc,,,,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,TALN
200,Mateon Therapeutics Inc,,,,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,MATN
201,Mace Security International Inc,,,,0,EQUITY,2018-03-29T15:00:00.000Z,TAS,MACE
202,Lonestar Resources US Inc,-0.56,-0.02,-2700.0,0,EQUITY,2018-03-29T13:00:00.000Z,TAS,LONE
203,QuoteMedia Inc,,,,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,QMCI
204,Worthington Industries Inc,0.62,0.72,-13.89,0,EQUITY,2018-03-29T16:30:00.000Z,BMO,WOR
205,Leap Therapeutics Inc,-0.65,-0.82,20.73,0,EQUITY,2018-03-29T14:59:00.000Z,TNS,LPTX
206,Sigma Labs Inc,,,,0,EQUITY,2018-03-29T16:30:00.000Z,BMO,SGLB
207,Boston Omaha Corp,,,,0,EQUITY,2018-03-31T00:00:00.000Z,AMC,BOMN
208,Seven Stars Cloud Group Inc,,,,0,EQUITY,2018-03-30T16:30:00.000Z,BMO,SSC
209,NF Energy Saving Corp,,,,0,EQUITY,2018-03-30T14:59:00.000Z,TNS,BIMI
210,China Pharma Holdings Inc,,,,0,EQUITY,2018-03-30T14:59:00.000Z,TNS,CPHI
211,NF Energy Saving Corp,,,,0,EQUITY,2018-03-30T10:59:00.000Z,TNS,NFEC
212,Glassbridge Enterprises Inc,,,,0,EQUITY,2018-03-30T16:30:00.000Z,BMO,GLAE
213,Ever-Glory International Group Inc,,,,0,EQUITY,2018-03-30T16:30:00.000Z,BMO,EVK
214,Fuling Global Inc,,,,0,EQUITY,2018-03-30T14:59:00.000Z,TNS,FORK
215,Internet Gold Golden Lines Ltd,,,,0,EQUITY,2018-03-30T14:59:00.000Z,TNS,IGLD
216,NXT-ID Inc,-0.15,-0.17,11.76,0,EQUITY,2018-03-31T00:00:00.000Z,AMC,NXTD
217,Spherix Inc,,,,0,EQUITY,2018-03-30T14:59:00.000Z,TNS,SPEX
218,Steadymed Ltd,-0.22,-0.19,-15.79,0,EQUITY,2018-03-30T16:30:00.000Z,BMO,STDY
219,Network-1 Technologies Inc,,,,0,EQUITY,2018-04-03T00:00:00.000Z,AMC,NTIP
220,Staffing 360 Solutions Inc,-0.33,-0.01,-3200.0,0,EQUITY,2018-04-02T14:00:00.000Z,TAS,STAF
221,Apollo Medical Holdings Inc,,,,0,EQUITY,2018-04-02T14:59:00.000Z,TNS,AMEH
222,CDTi Advanced Materials Inc,-0.1,-0.4,75.0,0,EQUITY,2018-04-03T00:00:00.000Z,AMC,CDTI
223,Sorl Auto Parts Inc,0.43,0.19,126.32,0,EQUITY,2018-04-02T16:30:00.000Z,BMO,SORL
224,Blonder Tongue Laboratories Inc,,,,0,EQUITY,2018-04-02T15:00:00.000Z,TAS,BDR
225,BOXLIGHT Corp,,,,0,EQUITY,2018-04-03T00:00:00.000Z,AMC,BOXL
226,Birner Dental Management Services Inc,,,,0,EQUITY,2018-04-02T15:00:00.000Z,TAS,BDMS
227,Barfresh Food Group Inc,-0.02,-0.02,0.0,0,EQUITY,2018-04-02T16:30:00.000Z,BMO,BRFH
228,CohBar Inc,,,,0,EQUITY,2018-04-02T14:59:00.000Z,TNS,CWBR
229,Harvest Capital Credit Corp,0.19,0.28,-32.14,0,EQUITY,2018-04-02T13:00:00.000Z,TAS,HCAP
230,Cancer Genetics Inc,-4.8,-0.13,-3592.31,0,EQUITY,2018-04-02T20:30:00.000Z,TAS,CGIX
231,Cerecor Inc,-0.19,-0.37,48.65,0,EQUITY,2018-04-02T16:30:00.000Z,BMO,CERC
232,Pimco Corporate & Income Opportunity Fund,,,,0,EQUITY,2018-04-02T14:59:00.000Z,TNS,PTY
233,Westmoreland Coal Co,,,,0,EQUITY,2018-04-02T16:30:00.000Z,BMO,WLBA
234,Pacific Drilling SA,,,,0,EQUITY,2018-04-03T00:00:00.000Z,AMC,PACDQ
235,Global Eagle Entertainment Inc,0.04,-0.02,300.0,0,EQUITY,2018-04-03T00:00:00.000Z,AMC,ENT
236,Eyenovia Inc,-0.45,-0.38,-18.42,0,EQUITY,2018-04-02T16:30:00.000Z,BMO,EYEN
237,Phoenix Footwear Group Inc,,,,0,EQUITY,2018-04-02T14:59:00.000Z,TNS,PXFG
238,Roadrunner Transportation Systems Inc,,,,0,EQUITY,2018-04-02T16:30:00.000Z,BMO,RRTS
239,Titan Pharmaceuticals Inc,-0.72,-0.78,7.69,0,EQUITY,2018-04-02T20:15:00.000Z,TAS,TTNP
240,Telkonet Inc,,,,0,EQUITY,2018-04-02T20:30:00.000Z,TAS,TKOI
241,Innovus Pharmaceuticals Inc,,,,0,EQUITY,2018-04-03T00:00:00.000Z,AMC,INNV
242,STRATA Skin Sciences Inc,0.09,-0.9,110.0,0,EQUITY,2018-04-02T16:30:00.000Z,BMO,SSKN
243,Westmoreland Resource Partners LP,,,,0,EQUITY,2018-04-02T14:59:00.000Z,TNS,WMLP
244,Atlas Financial Holdings Inc,0.45,0.44,2.27,0,EQUITY,2018-04-03T12:30:00.000Z,TAS,AFH
245,Dave & Buster's Entertainment Inc,0.61,0.6,1.67,0,EQUITY,2018-04-04T00:00:00.000Z,AMC,PLAY
246,BeyondSpring Inc,-0.61,-0.73,16.44,0,EQUITY,2018-04-03T12:00:00.000Z,TAS,BYSI
247,China Rapid Finance Ltd,-3.2,-0.05,-6300.0,0,EQUITY,2018-04-04T00:00:00.000Z,AMC,XRF
248,Cloudera Inc,-0.1,-0.23,56.52,0,EQUITY,2018-04-03T21:00:00.000Z,TAS,CLDR
249,Landec Corp,0.09,0.09,0.0,0,EQUITY,2018-04-04T00:00:00.000Z,AMC,LNDC
250,Net Element Inc,,,,0,EQUITY,2018-04-03T12:30:00.000Z,TAS,NETE
251,Evolving Systems Inc,,,,0,EQUITY,2018-04-03T20:00:00.000Z,TAS,EVOL
252,Flexible Solutions International Inc,0.06,0.03,100.0,0,EQUITY,2018-04-03T15:00:00.000Z,TAS,FSI
